base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,27,0,0.000,0.000
1,17,0,0.000,0.000
2,12,2,0.071,0.111
3,29,1,0.022,0.056
4,18,0,0.000,0.000
5,13,0,0.000,0.000
6,26,1,0.023,0.056
7,29,2,0.044,0.111
8,14,2,0.067,0.111
9,13,2,0.069,0.111
10,17,2,0.061,0.111
11,25,0,0.000,0.000
12,20,0,0.000,0.000
13,28,1,0.022,0.056
14,18,2,0.059,0.111
15,13,0,0.000,0.000
16,12,0,0.000,0.000
17,23,0,0.000,0.000
18,15,0,0.000,0.000
19,15,0,0.000,0.000
20,20,2,0.056,0.111
21,12,0,0.000,0.000
22,26,1,0.023,0.056
23,19,3,0.088,0.167
24,16,2,0.062,0.111
25,24,1,0.024,0.056
26,29,1,0.022,0.056
27,14,0,0.000,0.000
28,22,1,0.026,0.056
29,27,1,0.023,0.056
30,23,1,0.025,0.056
31,21,1,0.026,0.056
32,28,1,0.022,0.056
33,17,1,0.029,0.056
34,19,1,0.028,0.056
35,24,0,0.000,0.000
36,21,1,0.026,0.056
37,25,0,0.000,0.000
38,22,1,0.026,0.056
39,16,1,0.030,0.056
40,17,2,0.061,0.111
41,17,0,0.000,0.000
42,12,2,0.071,0.111
43,14,1,0.032,0.056
44,18,0,0.000,0.000
45,12,2,0.071,0.111
46,13,0,0.000,0.000
47,16,1,0.030,0.056
48,12,2,0.071,0.111
49,16,2,0.062,0.111
50,17,1,0.029,0.056
51,16,2,0.062,0.111
52,27,0,0.000,0.000
53,17,0,0.000,0.000
54,17,1,0.029,0.056
55,14,0,0.000,0.000
56,13,2,0.069,0.111
57,13,1,0.033,0.056
58,27,2,0.047,0.111
59,20,1,0.027,0.056
60,12,0,0.000,0.000
61,15,2,0.065,0.111
62,12,1,0.034,0.056
63,18,0,0.000,0.000
64,15,0,0.000,0.000
65,13,0,0.000,0.000
66,14,2,0.067,0.111
67,19,1,0.028,0.056
68,24,1,0.024,0.056
69,17,1,0.029,0.056
70,20,1,0.027,0.056
71,28,1,0.022,0.056
72,16,0,0.000,0.000
73,24,1,0.024,0.056
74,19,2,0.057,0.111
75,12,1,0.034,0.056
76,27,1,0.023,0.056
77,12,2,0.071,0.111
78,16,1,0.030,0.056
79,18,0,0.000,0.000
