base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,22,1,0.026,0.056
1,12,1,0.034,0.056
2,12,0,0.000,0.000
3,29,1,0.022,0.056
4,13,0,0.000,0.000
5,18,0,0.000,0.000
6,15,3,0.100,0.167
7,28,1,0.022,0.056
8,14,1,0.032,0.056
9,12,0,0.000,0.000
10,19,1,0.028,0.056
11,13,0,0.000,0.000
12,20,1,0.027,0.056
13,24,2,0.050,0.111
14,16,1,0.030,0.056
15,19,0,0.000,0.000
16,12,0,0.000,0.000
17,17,2,0.061,0.111
18,25,1,0.024,0.056
19,21,0,0.000,0.000
20,26,1,0.023,0.056
21,23,0,0.000,0.000
22,16,1,0.030,0.056
23,13,0,0.000,0.000
24,23,1,0.025,0.056
25,25,0,0.000,0.000
26,24,1,0.024,0.056
27,27,1,0.023,0.056
28,26,0,0.000,0.000
29,22,0,0.000,0.000
30,20,1,0.027,0.056
31,14,0,0.000,0.000
32,15,1,0.031,0.056
33,14,1,0.032,0.056
34,18,2,0.059,0.111
35,21,1,0.026,0.056
36,12,0,0.000,0.000
37,14,0,0.000,0.000
38,15,0,0.000,0.000
39,16,3,0.097,0.167
40,17,1,0.029,0.056
41,27,0,0.000,0.000
42,13,1,0.033,0.056
43,17,0,0.000,0.000
44,13,1,0.033,0.056
45,19,1,0.028,0.056
46,16,0,0.000,0.000
47,15,2,0.065,0.111
48,12,0,0.000,0.000
49,14,2,0.067,0.111
50,19,1,0.028,0.056
51,15,0,0.000,0.000
52,13,2,0.069,0.111
53,12,0,0.000,0.000
54,19,0,0.000,0.000
55,17,0,0.000,0.000
56,13,0,0.000,0.000
57,19,0,0.000,0.000
58,13,0,0.000,0.000
59,12,0,0.000,0.000
60,12,0,0.000,0.000
61,18,1,0.029,0.056
62,24,0,0.000,0.000
63,20,0,0.000,0.000
64,23,0,0.000,0.000
65,20,1,0.027,0.056
66,13,1,0.033,0.056
67,14,0,0.000,0.000
68,14,1,0.032,0.056
69,17,0,0.000,0.000
70,13,1,0.033,0.056
71,16,1,0.030,0.056
72,20,1,0.027,0.056
73,15,0,0.000,0.000
74,12,0,0.000,0.000
75,21,2,0.054,0.111
76,20,1,0.027,0.056
77,21,0,0.000,0.000
78,17,1,0.029,0.056
79,16,1,0.030,0.056
